@Member_Id,DisplayAs,ListAs,clearName,Glasses,HairColour,HairLength,FacialHair,ICCode,Speaker
172,Ms Diane Abbott,"Abbott, Ms Diane",Diane Abbott,TRUE,Black,Medium,,3,
4212,Debbie Abrahams,"Abrahams, Debbie",Debbie Abrahams,FALSE,Black,Medium,,1,
4057,Nigel Adams,"Adams, Nigel",Nigel Adams,FALSE,Brown,Short,,1,
4639,Bim Afolami,"Afolami, Bim",Bim Afolami,FALSE,Black,Short,,3,
1586,Adam Afriyie,"Afriyie, Adam",Adam Afriyie,FALSE,Grey,Short,,3,
4841,Imran Ahmad Khan,"Ahmad Khan, Imran",Imran Ahmad Khan,FALSE,Brown,Short,,4,
4741,Nickie Aiken,"Aiken, Nickie",Nickie Aiken,FALSE,Blonde,Short,,1,
4069,Peter Aldous,"Aldous, Peter",Peter Aldous,TRUE,Grey,Short,,1,
4138,Rushanara Ali,"Ali, Rushanara",Rushanara Ali,FALSE,Black,Long,,4,
4747,Tahir Ali,"Ali, Tahir",Tahir Ali,TRUE,Grey,Short,,4,
4411,Lucy Allan,"Allan, Lucy",Lucy Allan,FALSE,Brown,Medium,,1,
4573,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Rosena Allin-Khan,FALSE,Brown,Long,,4,
4667,Mike Amesbury,"Amesbury, Mike",Mike Amesbury,FALSE,Grey,Short,,1,
4788,Fleur Anderson,"Anderson, Fleur",Fleur Anderson,FALSE,Brown,Medium,,1,
4743,Lee Anderson,"Anderson, Lee",Lee Anderson,FALSE,Grey,Short,,1,
4742,Stuart Anderson,"Anderson, Stuart",Stuart Anderson,FALSE,Brown,Short,,1,
4032,Stuart Andrew,"Andrew, Stuart",Stuart Andrew,FALSE,Grey,Short,,1,
4512,Caroline Ansell,"Ansell, Caroline",Caroline Ansell,FALSE,Brown,Long,,1,
4623,Tonia Antoniazzi,"Antoniazzi, Tonia",Tonia Antoniazzi,FALSE,Black,Short,,1,
4362,Edward Argar,"Argar, Edward",Edward Argar,FALSE,Grey,Short,,1,
4244,Jonathan Ashworth,"Ashworth, Jonathan",Jonathan Ashworth,FALSE,Grey,Short,,1,
4855,Sarah Atherton,"Atherton, Sarah",Sarah Atherton,FALSE,Red,Long,,1,
4399,Victoria Atkins,"Atkins, Victoria",Victoria Atkins,FALSE,Brown,Medium,,1,
4798,Gareth Bacon,"Bacon, Gareth",Gareth Bacon,FALSE,Grey,Short,,1,
1451,Mr Richard Bacon,"Bacon, Mr Richard",Richard Bacon,FALSE,Grey,Short,,1,
4597,Kemi Badenoch,"Badenoch, Kemi",Kemi Badenoch,FALSE,Black,Long,,3,
4757,Shaun Bailey,"Bailey, Shaun",Shaun Bailey,FALSE,Brown,Short,,1,
4847,Siobhan Baillie,"Baillie, Siobhan",Siobhan Baillie,FALSE,Blonde,Medium,,1,
4784,Duncan Baker,"Baker, Duncan",Duncan Baker,TRUE,Brown,Short,,1,
4064,Mr Steve Baker,"Baker, Mr Steve",Steve Baker,TRUE,Brown,Short,,1,
4107,Harriett Baldwin,"Baldwin, Harriett",Harriett Baldwin,FALSE,Blonde,Medium,,1,
4095,Steve Barclay,"Barclay, Steve",Steve Barclay,FALSE,Grey,Short,,1,
4486,Hannah Bardell,"Bardell, Hannah",Hannah Bardell,FALSE,Brown,Short,,1,
4828,Paula Barker,"Barker, Paula",Paula Barker,FALSE,Red,Medium,,1,
1390,Mr John Baron,"Baron, Mr John",John Baron,TRUE,Grey,Short,,1,
4800,Simon Baynes,"Baynes, Simon",Simon Baynes,FALSE,Grey,Short,,1,
328,Margaret Beckett,"Beckett, Margaret",Margaret Beckett,FALSE,Grey,Short,,1,
4697,Órfhlaith Begley,"Begley, Órfhlaith",Órfhlaith Begley,FALSE,Brown,Long,,1,
4790,Apsana Begum,"Begum, Apsana",Apsana Begum,FALSE,Headscarf,Headscarf,,4,
4837,Aaron Bell,"Bell, Aaron",Aaron Bell,FALSE,Brown,Short,,1,
413,Hilary Benn,"Benn, Hilary",Hilary Benn,TRUE,Grey,Short,,1,
4793,Scott Benton,"Benton, Scott",Scott Benton,FALSE,Brown,Short,,1,
103,Sir Paul Beresford,"Beresford, Sir Paul",Paul Beresford,FALSE,Grey,Short,,1,
4060,Jake Berry,"Berry, Jake",Jake Berry,FALSE,Brown,Short,,1,
394,Mr Clive Betts,"Betts, Mr Clive",Clive Betts,FALSE,Grey,Short,,1,
4818,Saqib Bhatti,"Bhatti, Saqib",Saqib Bhatti,FALSE,Brown,Short,Stubble,4,
4421,Mhairi Black,"Black, Mhairi",Mhairi Black,FALSE,Brown,Medium,,1,
4390,Ian Blackford,"Blackford, Ian",Ian Blackford,FALSE,Grey,Short,,1,
4005,Bob Blackman,"Blackman, Bob",Bob Blackman,FALSE,Grey,Short,,1,
4357,Kirsty Blackman,"Blackman, Kirsty",Kirsty Blackman,FALSE,Brown,Short,,1,
4864,Olivia Blake,"Blake, Olivia",Olivia Blake,FALSE,Blonde,Medium,,1,
4058,Paul Blomfield,"Blomfield, Paul",Paul Blomfield,FALSE,Brown,Short,,1,
104,Crispin Blunt,"Blunt, Crispin",Crispin Blunt,TRUE,Grey,Short,Stubble,1,
1581,Mr Peter Bone,"Bone, Mr Peter",Peter Bone,TRUE,Grey,Short,,1,
4748,Steven Bonnar,"Bonnar, Steven",Steven Bonnar,FALSE,Brown,Short,Stubble,1,
117,Sir Peter Bottomley,"Bottomley, Sir Peter",Peter Bottomley,TRUE,Grey,Short,,1,
4601,Andrew Bowie,"Bowie, Andrew",Andrew Bowie,FALSE,Brown,Short,,1,
4663,Ben Bradley,"Bradley, Ben",Ben Bradley,FALSE,Brown,Short,Stubble,1,
4110,Karen Bradley,"Bradley, Karen",Karen Bradley,FALSE,Blonde,Medium,,1,
230,Mr Ben Bradshaw,"Bradshaw, Mr Ben",Ben Bradshaw,FALSE,Grey,Short,,1,
435,Sir Graham Brady,"Brady, Sir Graham",Graham Brady,FALSE,Brown,Short,,1,
4373,Mickey Brady,"Brady, Mickey",Mickey Brady,FALSE,Grey,Short,Goatee,1,
4475,Suella Braverman,"Braverman, Suella",Suella Braverman,FALSE,Brown,Medium,,4,
1400,Kevin Brennan,"Brennan, Kevin",Kevin Brennan,TRUE,Brown,Short,,1,
4643,Jack Brereton,"Brereton, Jack",Jack Brereton,TRUE,Brown,Short,,1,
4133,Andrew Bridgen,"Bridgen, Andrew",Andrew Bridgen,FALSE,Brown,Short,,1,
4067,Steve Brine,"Brine, Steve",Steve Brine,FALSE,Brown,Short,,1,
4792,Paul Bristow,"Bristow, Paul",Paul Bristow,FALSE,Blonde,Short,,1,
4838,Sara Britcliffe,"Britcliffe, Sara",Sara Britcliffe,FALSE,Blonde,Long,,1,
4417,Deidre Brock,"Brock, Deidre",Deidre Brock,TRUE,Red,Medium,,1,
4470,Alan Brown,"Brown, Alan",Alan Brown,FALSE,Grey,Short,,1,
1583,Ms Lyn Brown,"Brown, Ms Lyn",Lyn Brown,FALSE,Brown,Medium,,1,
523,Mr Nicholas Brown,"Brown, Mr Nicholas",Nicholas Brown,FALSE,Grey,Short,,1,
4801,Anthony Browne,"Browne, Anthony",Anthony Browne,FALSE,Brown,Short,,1,
3958,Fiona Bruce,"Bruce, Fiona",Fiona Bruce,FALSE,Blonde,Medium,,1,
1446,Chris Bryant,"Bryant, Chris",Chris Bryant,FALSE,Grey,Short,,1,
4821,Felicity Buchan,"Buchan, Felicity",Felicity Buchan,FALSE,Blonde,Medium,,1,
199,Ms Karen Buck,"Buck, Ms Karen",Karen Buck,FALSE,Grey,Short,,1,
4106,Sir Robert Buckland,"Buckland, Sir Robert",Robert Buckland,TRUE,Blonde,Medium,,1,
4613,Alex Burghart,"Burghart, Alex",Alex Burghart,FALSE,Brown,Short,,1,
4493,Richard Burgon,"Burgon, Richard",Richard Burgon,FALSE,Brown,Short,,1,
3922,Conor Burns,"Burns, Conor",Conor Burns,FALSE,Grey,Short,,1,
1489,Dawn Butler,"Butler, Dawn",Dawn Butler,FALSE,Brown,Long,,3,
4745,Rob Butler,"Butler, Rob",Rob Butler,FALSE,Grey,Short,,1,
4831,Ian Byrne,"Byrne, Ian",Ian Byrne,FALSE,Brown,Short,,1,
1171,Liam Byrne,"Byrne, Liam",Liam Byrne,FALSE,No Hair,No Hair,Beard,1,
4389,Ruth Cadbury,"Cadbury, Ruth",Ruth Cadbury,FALSE,Grey,Medium,,1,
4086,Alun Cairns,"Cairns, Alun",Alun Cairns,FALSE,Brown,Short,,1,
4770,Amy Callaghan,"Callaghan, Amy",Amy Callaghan,FALSE,Blonde,Long,,1,
4412,Dr Lisa Cameron,"Cameron, Dr Lisa",Lisa Cameron,FALSE,Blonde,Long,,1,
529,Sir Alan Campbell,"Campbell, Sir Alan",Alan Campbell,TRUE,Grey,Short,,1,
1409,Mr Gregory Campbell,"Campbell, Mr Gregory",Gregory Campbell,FALSE,Grey,Short,,1,
4651,Dan Carden,"Carden, Dan",Dan Carden,FALSE,Brown,Short,,1,
1442,Mr Alistair Carmichael,"Carmichael, Mr Alistair",Alistair Carmichael,FALSE,Grey,Short,,1,
4791,Andy Carter,"Carter, Andy",Andy Carter,FALSE,Brown,Short,Stubble,1,
4519,James Cartlidge,"Cartlidge, James",James Cartlidge,FALSE,Grey,Short,,1,
288,Sir William Cash,"Cash, Sir William",William Cash,TRUE,Grey,Short,,1,
4865,Miriam Cates,"Cates, Miriam",Miriam Cates,FALSE,Blonde,Long,,1,
4492,Maria Caulfield,"Caulfield, Maria",Maria Caulfield,FALSE,Blonde,Long,,1,
4481,Alex Chalk,"Chalk, Alex",Alex Chalk,FALSE,Brown,Short,,1,
4765,Wendy Chamberlain,"Chamberlain, Wendy",Wendy Chamberlain,FALSE,Brown,Long,,1,
4267,Sarah Champion,"Champion, Sarah",Sarah Champion,FALSE,Brown,Medium,,1,
4402,Douglas Chapman,"Chapman, Douglas",Douglas Chapman,TRUE,Grey,Short,,1,
4610,Bambos Charalambous,"Charalambous, Bambos",Bambos Charalambous,FALSE,Grey,Short,,1,
4419,Joanna Cherry,"Cherry, Joanna",Joanna Cherry,TRUE,Blonde,Short,,1,
3987,Rehman Chishti,"Chishti, Rehman",Rehman Chishti,FALSE,Brown,Short,,4,
242,Sir Christopher Chope,"Chope, Sir Christopher",Christopher Chope,FALSE,Grey,Short,,1,
4380,Jo Churchill,"Churchill, Jo",Jo Churchill,FALSE,Brown,Short,,1,
4822,Feryal Clark,"Clark, Feryal",Feryal Clark,FALSE,Brown,Long,,,
1578,Greg Clark,"Clark, Greg",Greg Clark,TRUE,Brown,Short,,,
4655,Mr Simon Clarke,"Clarke, Mr Simon",Simon Clarke,TRUE,Brown,Short,,1,
4819,Theo Clarke,"Clarke, Theo",Theo Clarke,FALSE,Brown,Long,,1,
4756,Brendan Clarke-Smith,"Clarke-Smith, Brendan",Brendan Clarke-Smith,FALSE,Brown,Short,,1,
4835,Chris Clarkson,"Clarkson, Chris",Chris Clarkson,TRUE,Brown,Short,,,
4366,James Cleverly,"Cleverly, James",James Cleverly,TRUE,Brown,Short,,,
249,Sir Geoffrey Clifton-Brown,"Clifton-Brown, Sir Geoffrey",Geoffrey Clifton-Brown,TRUE,Grey,Short,,,
4098,Dr Thérèse Coffey,"Coffey, Dr Thérèse",Thérèse Coffey,TRUE,Grey,Medium,,,
4775,Elliot Colburn,"Colburn, Elliot",Elliot Colburn,FALSE,Brown,Short,Stubble,,
3986,Damian Collins,"Collins, Damian",Damian Collins,FALSE,Brown,Short,,,
